20210701145549,34.692145,135.78208
,adress,rssi,uuid
0,00:a0:50:53:77:0c,-71,null
1,6d:66:6c:67:73:a0,-83,null
2,6f:77:a5:ce:c8:96,-81,null
3,42:16:d4:52:5c:fb,-71,null
4,0d:9e:2b:ff:af:18,-92,0000fd6f-0000-1000-8000-00805f9b34fb
5,66:8b:42:91:ef:14,-82,null
6,2c:e2:44:57:8d:ca,-96,0000fd6f-0000-1000-8000-00805f9b34fb
7,3a:b9:5d:40:40:2e,-82,0000fd6f-0000-1000-8000-00805f9b34fb
8,43:64:ac:d9:13:35,-87,null
9,73:75:82:17:8c:8d,-92,null
10,14:7c:72:a8:a7:5c,-94,null
11,7c:f6:d9:13:62:48,-83,null
12,6c:91:d6:78:8f:d5,-91,null
13,7c:35:e9:8f:ff:a5,-90,null
14,76:44:d4:6c:a8:85,-95,null
15,28:11:a5:cb:f2:58,-88,null
16,6b:e9:d3:91:c5:8b,-84,null
17,f3:85:80:87:df:89,-93,null
18,47:c4:02:96:e4:91,-93,null
19,6f:be:ad:37:43:ee,-92,null
20,72:ec:ee:57:d7:95,-84,null
21,d4:36:39:ba:bf:4c,-97,null
22,75:4f:f7:d4:d5:95,-95,null
